id;taxonID;scientificName;acceptedNameUsage;kingdom;phylum;class;order;family;taxonomicStatus;taxonRank;references
1101220;1101220;Dryopteris submontana (Fraser-Jenk. & Jermy) Fraser-Jenk.;Dryopteris submontana;Plantae;Tracheophyta;Polypodiopsida;Polypodiales;Dryopteridaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/1101220
11390;11390;Gypsophila repens L.;Gypsophila repens;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/11390
12730;12730;Allium victorialis L.;Allium victorialis;Plantae;Tracheophyta;Liliopsida;Asparagales;Amaryllidaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/12730
12353;12353;Asperula hirta Ramond;Asperula hirta;Plantae;Tracheophyta;Magnoliopsida;Gentianales;Rubiaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/12353
12716;12716;Paris quadrifolia L.;Paris quadrifolia;Plantae;Tracheophyta;Liliopsida;Liliales;Melanthiaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/12716
11789;11789;Ribes petraeum Wulfen in Jacq.;Ribes petraeum;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Grossulariaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/11789
11056;11056;Scorzonera aristata Ramond ex DC.;Scorzonera aristata;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/11056
16636;16636;Arum cylindraceum Gasp. in Guss.;Arum cylindraceum;Plantae;Tracheophyta;Liliopsida;Alismatales;Araceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/16636
16653;16653;Saxifraga losae Sennen ex Luizet;Saxifraga losae;Plantae;Tracheophyta;Magnoliopsida;Saxifragales;Saxifragaceae;ACCEPTED;Species;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/16653
11186;11186;Hugueninia tanacetifolia subsp. suffruticosa (H.J.Coste & Soulié) P.W.Ball;Hugueninia tanacetifolia subsp. suffruticosa;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Brassicaceae;ACCEPTED;Subspecies;https://www.ingurumena.ejgv.euskadi.eus/ac84aBuscadorWar/especies/11186
